
13-02-2018 22:38:45:098 - I: 	Executing process  A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-38-44-901/Phase 1 - Round 0/A"
13-02-2018 22:38:45:100 - E: 	Failed to run calibration test System.InvalidOperationException: File name has not been set
  at System.Diagnostics.Process.Start_common (System.Diagnostics.ProcessStartInfo startInfo, System.Diagnostics.Process process) <0x41947650 + 0x0011b> in <filename unknown>:0 
  at System.Diagnostics.Process.Start () <0x419475d0 + 0x0004b> in <filename unknown>:0 
  at (wrapper remoting-invoke-with-check) System.Diagnostics.Process:Start ()
  at BotRunner.Util.ProcessHandler.StartProcessCommon () <0x41946ea0 + 0x0010b> in <filename unknown>:0 
  at BotRunner.Util.ProcessHandler.RunProcess () <0x41946dd0 + 0x00057> in <filename unknown>:0 
  at TestHarness.TestHarnesses.Bot.Runners.DotNetRunner.RunCalibrationTest () <0x41945e70 + 0x00153> in <filename unknown>:0 
  at TestHarness.TestHarnesses.Bot.BotRunner.CalibrateBot () <0x41945b40 + 0x00068> in <filename unknown>:0 
13-02-2018 22:38:45:101 - I: 	Bot calibration complete and can run an additional 5ms due to environment startup
13-02-2018 22:38:45:109 - D: 	Executing bot with following commands /media/adylanrff/82CE-2B04/Battleship-Bot-master/Battleship-Bot-master/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-38-44-901/Phase 1 - Round 0/A"
13-02-2018 22:38:45:110 - I: 	Executing process /media/adylanrff/82CE-2B04/Battleship-Bot-master/Battleship-Bot-master/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-38-44-901/Phase 1 - Round 0/A"
13-02-2018 22:38:45:119 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 22:38:45:166 - I: 	Output from bot: cek
13-02-2018 22:38:45:166 - I: 	Output from bot: Cek
13-02-2018 22:38:45:166 - I: 	Output from bot: x: 0
