
13-02-2018 22:31:19:578 - I: 	Executing process  A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-31-19-401/Phase 1 - Round 0/A"
13-02-2018 22:31:19:580 - E: 	Failed to run calibration test System.InvalidOperationException: File name has not been set
  at System.Diagnostics.Process.Start_common (System.Diagnostics.ProcessStartInfo startInfo, System.Diagnostics.Process process) <0x404e1640 + 0x0011b> in <filename unknown>:0 
  at System.Diagnostics.Process.Start () <0x404e15c0 + 0x0004b> in <filename unknown>:0 
  at (wrapper remoting-invoke-with-check) System.Diagnostics.Process:Start ()
  at BotRunner.Util.ProcessHandler.StartProcessCommon () <0x404e0ea0 + 0x0010b> in <filename unknown>:0 
  at BotRunner.Util.ProcessHandler.RunProcess () <0x404e0dd0 + 0x00057> in <filename unknown>:0 
  at TestHarness.TestHarnesses.Bot.Runners.DotNetRunner.RunCalibrationTest () <0x404dfe70 + 0x00153> in <filename unknown>:0 
  at TestHarness.TestHarnesses.Bot.BotRunner.CalibrateBot () <0x404dfb40 + 0x00068> in <filename unknown>:0 
13-02-2018 22:31:19:581 - I: 	Bot calibration complete and can run an additional 5ms due to environment startup
13-02-2018 22:31:19:586 - D: 	Executing bot with following commands /media/adylanrff/82CE-2B04/Battleship-Bot-master/Battleship-Bot-master/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-31-19-401/Phase 1 - Round 0/A"
13-02-2018 22:31:19:586 - I: 	Executing process /media/adylanrff/82CE-2B04/Battleship-Bot-master/Battleship-Bot-master/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-31-19-401/Phase 1 - Round 0/A"
13-02-2018 22:31:19:593 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 22:31:19:595 - I: 	Output from bot: cek
13-02-2018 22:31:19:595 - I: 	Output from bot: Cek
13-02-2018 22:31:19:595 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:595 - I: 	Output from bot: y: 0
13-02-2018 22:31:19:595 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:595 - I: 	Output from bot: y: 2
13-02-2018 22:31:19:595 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:595 - I: 	Output from bot: y: 4
13-02-2018 22:31:19:595 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:595 - I: 	Output from bot: y: 6
13-02-2018 22:31:19:595 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 12
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 13
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 12
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - E: 	Output from bot: 
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 13
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 12
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 13
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 12
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 13
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 12
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 3
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 5
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 7
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 9
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 13
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 0
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 2
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 4
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 6
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 8
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 10
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 12
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 1
13-02-2018 22:31:19:596 - I: 	Output from bot: x: 11
13-02-2018 22:31:19:596 - I: 	Output from bot: y: 3
