
13-02-2018 22:28:08:704 - D: 	Executing bot with following commands /home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/Bot/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-28-07-759/Phase 2 - Round 21/A"
13-02-2018 22:28:08:704 - I: 	Executing process /home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/Bot/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-28-07-759/Phase 2 - Round 21/A"
13-02-2018 22:28:08:706 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 22:28:08:709 - I: 	Output from bot: cek
13-02-2018 22:28:08:711 - I: 	Output from bot: Cek
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 2
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 4
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 6
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 10
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 0
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 12
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 1
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 1
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 1
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 3
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 1
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 5
13-02-2018 22:28:08:711 - I: 	Output from bot: x: 1
13-02-2018 22:28:08:711 - I: 	Output from bot: y: 7
