
13-02-2018 22:28:04:509 - D: 	Executing bot with following commands /home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/Bot/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-28-03-162/Phase 2 - Round 32/A"
13-02-2018 22:28:04:509 - I: 	Executing process /home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/Bot/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-28-03-162/Phase 2 - Round 32/A"
13-02-2018 22:28:04:510 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 22:28:04:512 - I: 	Output from bot: cek
13-02-2018 22:28:04:514 - I: 	Output from bot: Cek
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 4
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 8
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 10
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 12
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 1
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 1
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 7
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 1
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 9
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 1
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 11
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 1
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 13
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 2
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 2
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 8
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 2
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 10
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 2
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 12
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 7
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 9
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 13
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 4
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 4
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 4
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 4
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 10
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 5
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 3
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 5
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 7
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 5
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 9
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 5
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 11
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 5
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 13
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 0
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 2
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 4
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 8
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
13-02-2018 22:28:04:514 - I: 	Output from bot: y: 10
13-02-2018 22:28:04:514 - I: 	Output from bot: x: 6
